id_unidad_productora;nombre_unidad_productora
1;UACI
2;UGDA
3;INVENTARIO
4;TESORIA 
5;ORNATO Y LIMPIEZA
6;UNIDAD DE ORDEN Y LIMPIEZA
7;NO EXISTE
8;GERENCIA INNOVACION
9;TRANSPORTE
10;GERENCIA GENERAL
11;PROVEEDURIA
12;GERENCIA MANTENIMIENTO
13;COMUNICACIONES
14;REF
15;UAIP
16;CADA UNIDAD
17;CARRERA ADMINISTRATIVA
18;TALENTO HUMANO
19;TALENTO HUMANO/ACTUALMENTE NO SE HACE
20;SECRETARIA
21;UNIDAD DE LA MUJER
22;CONTABILIDAD
23;PRESUPUESTO/TESORERIA
24;GERENCIA FINANCIERA
25;PRESUPUESTO
26;CLINICAS MUNICIPALES
27;CATASTRO DE EMPRESAS 
28;GERENCIA DE DESARROLLO SOCIAL
29;UNIDAD DE CULTURA Y ARTE
30;RECREACION Y DEPORTES
31;UNIDAD DE EVENTOS Y FESTEJOS MUNICIPALES
32;UNIDAD DE AGRICULTURA Y GANADERIA
33;PROYECTOS
34;CEMENTERIO
35;ORNATO Y ZONAS VERDES
36;INGENIERIA
37;MERCADOS
38;DESARROLLO COMUNAL
39;UNIDAD DE JUVENTUD MUNICIPAL
40;DESARROLLO SOCIAL
41;CATASTRO DE BIENES INMUEBLES
42;DEPARTAMENTO DE RECUPERACION DE MORA
43;GERENCIA DE MEDIO AMBIENTE
44;ASEO URBANO
45;CEMENTERIOS Y FUNERARIA MUNICIPAL
46;CLINICA MUNICIPAL
47;GERENCIA DE MEDIO AMBIENT
48;UNIDAD DE GESTION DE RIESGOS
49;CAM
50;CONTRAVENCIONAL
51;RASTRO MUNICIPAL
52;TERMINAL DE BUSES
53;UNIDAD DE TURISMO
